1692342900000,26486.03000000,26492.00000000,26477.27000000,26488.77000000,196.24588000,1692343199999,5197538.20161110,3668,87.82198000,2325989.07834900,0
1692343200000,26488.77000000,26492.00000000,26466.00000000,26475.37000000,165.30371000,1692343499999,4376169.50941840,3881,67.30541000,1781764.63688340,0
1692343500000,26475.36000000,26477.62000000,26454.90000000,26455.22000000,155.64520000,1692343799999,4119754.18696100,3855,52.66153000,1393912.98516560,0
1692343800000,26455.22000000,26460.49000000,26436.00000000,26438.00000000,313.66171000,1692344099999,8296011.60144450,5240,155.20561000,4105072.32994730,0
1692344100000,26438.00000000,26476.60000000,26437.99000000,26476.60000000,271.48379000,1692344399999,7180571.41077760,4272,182.45791000,4825874.23885010,0
1692344400000,26476.60000000,26481.29000000,26441.95000000,26441.96000000,296.24409000,1692344699999,7838326.41328530,4754,150.61158000,3984703.99632160,0
1692344700000,26441.95000000,26468.00000000,26441.95000000,26457.27000000,263.53989000,1692344999999,6973367.69309490,3874,184.22599000,4874539.69959050,0
1692345000000,26457.27000000,26473.34000000,26452.78000000,26462.00000000,274.74667000,1692345299999,7270302.44875570,4411,169.13532000,4475497.80967910,0
1692345300000,26462.00000000,26466.44000000,26423.00000000,26429.99000000,480.26665000,1692345599999,12699564.72256200,7012,234.51765000,6201217.06978590,0
1692345600000,26430.00000000,26467.97000000,26420.96000000,26467.97000000,188.73065000,1692345899999,4989038.20313440,3640,104.60448000,2765734.64279930,0
1692345900000,26467.96000000,26495.88000000,26452.79000000,26495.87000000,137.17055000,1692346199999,3630231.85058650,3463,72.07498000,1907470.04373920,0
1692346200000,26495.88000000,26501.82000000,26491.94000000,26501.82000000,224.90884000,1692346499999,5959208.24333700,3527,115.61272000,3063322.02848770,0
1692346500000,26501.81000000,26501.83000000,26434.90000000,26434.91000000,232.71905000,1692346799999,6161783.79456500,5676,47.83674000,1266401.05979660,0
1692346800000,26434.91000000,26451.10000000,26427.47000000,26432.22000000,197.68447000,1692347099999,5227072.06400620,3964,86.01240000,2274297.64617370,0
1692347100000,26432.21000000,26455.37000000,26432.21000000,26450.43000000,137.25336000,1692347399999,3629874.08562990,3543,70.22290000,1857073.84483210,0
1692347400000,26450.43000000,26453.95000000,26436.29000000,26438.01000000,121.01941000,1692347699999,3200236.79475060,3085,45.04596000,1191200.25962980,0
1692347700000,26438.01000000,26451.66000000,26432.30000000,26436.00000000,117.52273000,1692347999999,3107313.11135680,3264,47.27921000,1250086.13751820,0
1692348000000,26435.99000000,26465.44000000,26434.22000000,26465.43000000,97.56865000,1692348299999,2580676.55005500,2454,67.45319000,1784295.73990710,0
1692348300000,26465.44000000,26519.53000000,26465.43000000,26514.22000000,287.30427000,1692348599999,7608989.78113040,4477,164.81191000,4365219.32736020,0
1692348600000,26514.21000000,26579.31000000,26498.46000000,26536.29000000,367.33176000,1692348899999,9750451.73171640,7142,192.74425000,5115971.18018210,0
1692348900000,26536.29000000,26595.47000000,26535.45000000,26591.69000000,312.77091000,1692349199999,8312937.19888960,5702,182.98998000,4863534.36637640,0
1692349200000,26591.68000000,26592.54000000,26541.04000000,26554.65000000,395.02859000,1692349499999,10495319.16054390,7988,123.96562000,3293473.20386240,0
1692349500000,26554.65000000,26585.55000000,26554.64000000,26577.01000000,142.01313000,1692349799999,3773496.75498290,3260,62.77007000,1667802.01597430,0
1692349800000,26577.00000000,26580.00000000,26554.64000000,26574.00000000,231.74724000,1692350099999,6157388.19434010,4262,105.85374000,2812413.12274860,0
1692350100000,26574.00000000,26603.41000000,26573.99000000,26601.64000000,140.69132000,1692350399999,3740626.62907400,3620,64.80792000,1723214.32802730,0
1692350400000,26601.64000000,26609.65000000,26554.00000000,26561.09000000,268.69896000,1692350699999,7141658.12763690,5517,62.26188000,1654553.50862650,0
1692350700000,26561.09000000,26563.68000000,26532.74000000,26543.39000000,204.84178000,1692350999999,5437286.62611960,4152,79.39612000,2107373.84921770,0
1692351000000,26543.40000000,26543.40000000,26506.91000000,26515.51000000,237.93144000,1692351299999,6310483.42889310,4476,54.27613000,1439431.84459870,0
1692351300000,26515.52000000,26531.59000000,26505.21000000,26511.56000000,265.85558000,1692351599999,7048900.95913520,4647,118.13181000,3131961.31731460,0
